PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,,pts_diff,fg_pct_diff,ft_pct_diff,fg3_pct_diff,ast_diff,reb_diff
93,0.443,0.742,0.5,21,36,1610612748,109,0.529,0.882,0.333,23,41,0,,-16,-0.086,-0.14,0.167,-2,-5
113,0.489,0.579,0.5,29,52,1610612748,77,0.408,0.7,0.444,21,36,1,,36,0.081,-0.121,0.056,8,16
103,0.494,0.786,0.526,22,36,1610612759,84,0.41,0.714,0.5,16,44,1,,19,0.084,0.072,0.026,6,-8
88,0.436,0.706,0.32,20,46,1610612759,92,0.417,0.833,0.304,16,37,0,,-4,0.019,-0.127,0.016,4,9
99,0.39,0.868,0.375,14,43,1610612754,76,0.406,0.7,0.3,14,37,1,,23,-0.016,0.168,0.075,0,6
91,0.5,0.611,0.545,19,53,1610612748,77,0.361,0.789,0.556,10,33,1,,14,0.139,-0.178,-0.011,9,20
90,0.507,0.583,0.389,19,32,1610612754,79,0.449,0.8,0.385,11,33,1,,11,0.058,-0.217,0.004,8,-1
99,0.5,0.788,0.214,18,49,1610612748,92,0.39,0.889,0.348,15,30,1,,7,0.11,-0.101,-0.134,3,19
86,0.372,0.708,0.357,19,41,1610612759,93,0.513,0.923,0.231,23,34,0,,-7,-0.141,-0.215,0.126,-4,7
96,0.397,0.682,0.571,16,45,1610612748,114,0.545,0.857,0.429,21,36,0,,-18,-0.148,-0.175,0.142,-5,9
93,0.392,0.556,0.35,18,48,1610612759,104,0.5,0.727,0.333,20,50,0,,-11,-0.108,-0.171,0.017,-2,-2
93,0.466,0.692,0.318,14,32,1610612754,97,0.5,0.813,0.417,18,39,0,,-4,-0.034,-0.121,-0.099,-4,-7
103,0.477,0.64,0.278,24,38,1610612754,102,0.446,0.75,0.286,18,43,1,,1,0.031,-0.11,-0.008,6,-5
93,0.434,0.706,0.36,29,46,1610612763,89,0.34,0.692,0.294,19,60,1,,4,0.094,0.014,0.066,10,-14
105,0.526,0.786,0.483,28,33,1610612763,83,0.432,0.7,0.417,20,35,1,,22,0.094,0.086,0.066,8,-2
106,0.507,0.739,0.267,17,43,1610612752,99,0.4,1,0.433,19,36,1,,7,0.107,-0.261,-0.166,-2,7
85,0.41,0.824,0.389,12,40,1610612754,75,0.362,0.576,0.316,12,43,1,,10,0.048,0.248,0.073,0,-3
82,0.388,0.632,0.25,18,40,1610612759,94,0.452,0.84,0.368,27,46,0,,-12,-0.064,-0.208,-0.118,-9,-6
94,0.457,0.727,0.286,20,32,1610612741,91,0.44,0.708,0.421,14,40,1,,3,0.017,0.019,-0.135,6,-8
84,0.365,0.762,0.24,19,44,1610612763,88,0.37,0.862,0.214,18,46,0,,-4,-0.005,-0.1,0.026,1,-2
93,0.408,0.767,0.32,17,54,1610612752,82,0.356,0.857,0.286,14,36,1,,11,0.052,-0.09,0.034,3,18
109,0.519,0.76,0.476,30,38,1610612744,91,0.467,0.652,0.375,18,36,1,,18,0.052,0.108,0.101,12,2
65,0.257,0.781,0.118,12,46,1610612748,88,0.485,0.762,0.333,24,36,0,,-23,-0.228,0.019,-0.215,-12,10
103,0.404,0.862,0.353,18,41,1610612760,97,0.43,0.909,0.45,19,44,1,,6,-0.026,-0.047,-0.097,-1,-3
97,0.38,0.8,0.389,19,65,1610612759,87,0.355,0.56,0.259,17,51,1,,10,0.025,0.24,0.13,2,14
87,0.405,0.821,0.286,16,44,1610612760,81,0.364,0.632,0.278,10,51,1,,6,0.041,0.189,0.008,6,-7
82,0.35,0.696,0.303,14,53,1610612752,71,0.352,0.72,0.273,11,41,1,,11,-0.002,-0.024,0.03,3,12
94,0.455,0.68,0.318,21,37,1610612748,104,0.5,0.867,0.4,21,39,0,,-10,-0.045,-0.187,-0.082,0,-2
92,0.393,0.8,0.316,20,48,1610612759,102,0.506,0.696,0.3,21,41,0,,-10,-0.113,0.104,0.016,-1,7
115,0.6,0.759,0.5,29,41,1610612741,78,0.355,0.714,0.391,17,28,1,,37,0.245,0.045,0.109,12,13
91,0.393,0.667,0.238,14,48,1610612744,100,0.452,0.65,0.478,19,50,0,,-9,-0.059,0.017,-0.24,-5,-2
105,0.494,0.7,0.333,20,37,1610612754,79,0.455,0.611,0.32,19,35,1,,26,0.039,0.089,0.013,1,2
93,0.429,0.889,0.375,17,35,1610612763,99,0.419,0.719,0.267,22,43,0,,-6,0.01,0.17,0.108,-5,-8
86,0.397,0.68,0.292,20,32,1610612741,93,0.437,0.828,0.389,20,46,0,,-7,-0.04,-0.148,-0.097,0,-14
129,0.438,0.857,0.5,26,45,1610612744,127,0.51,0.583,0.367,23,55,1,,2,-0.072,0.274,0.133,3,-10
93,0.413,0.88,0.333,13,43,1610612763,91,0.427,0.583,0.368,13,41,1,,2,-0.014,0.297,-0.035,0,2
95,0.432,0.783,0.368,15,30,1610612754,102,0.487,0.769,0.348,21,44,0,,-7,-0.055,0.014,0.02,-6,-14
93,0.407,0.75,0.32,21,43,1610612741,99,0.488,0.923,0.333,20,40,0,,-6,-0.081,-0.173,-0.013,1,3
80,0.381,0.788,0.273,13,35,1610612752,88,0.418,0.813,0.429,18,42,0,,-8,-0.037,-0.025,-0.156,-5,-7
73,0.333,0.9,0.158,12,35,1610612754,81,0.421,0.667,0.2,17,53,0,,-8,-0.088,0.233,-0.042,-5,-18
94,0.411,0.645,0.438,16,43,1610612760,103,0.458,1,0.407,21,41,0,,-9,-0.047,-0.355,0.031,-5,2
118,0.507,0.809,0.421,27,34,1610612746,105,0.526,0.667,0.35,19,35,1,,13,-0.019,0.142,0.071,8,-1
92,0.404,0.722,0.389,23,46,1610612751,95,0.43,0.667,0.357,21,41,0,,-3,-0.026,0.055,0.032,2,5
92,0.403,0.958,0.28,17,55,1610612743,88,0.347,0.619,0.25,18,44,1,,4,0.056,0.339,0.03,-1,11
86,0.395,0.85,0.227,13,39,1610612738,92,0.457,1,0.5,20,41,0,,-6,-0.062,-0.15,-0.273,-7,-2
106,0.507,0.829,0.368,24,51,1610612737,83,0.333,0.811,0.214,14,28,1,,23,0.174,0.018,0.154,10,23
100,0.419,0.714,0.242,20,43,1610612745,107,0.472,0.676,0.4,15,42,0,,-7,-0.053,0.038,-0.158,5,1
107,0.427,0.778,0.37,26,46,1610612744,100,0.432,0.76,0.393,20,42,1,,7,-0.005,0.018,-0.023,6,4
93,0.442,0.76,0.353,19,40,1610612763,103,0.435,0.788,0.3,19,42,0,,-10,0.007,-0.028,0.053,0,-2
110,0.5,0.87,0.353,19,44,1610612741,91,0.493,0.722,0.333,20,33,1,,19,0.007,0.148,0.02,-1,11
102,0.446,0.658,0.458,24,46,1610612754,91,0.381,0.8,0.304,22,45,1,,11,0.065,-0.142,0.154,2,1
105,0.487,0.792,0.444,21,39,1610612760,103,0.486,0.88,0.44,18,36,1,,2,0.001,-0.088,0.004,3,3
97,0.447,0.875,0.364,22,40,1610612752,90,0.344,0.75,0.233,10,54,1,,7,0.103,0.125,0.131,12,-14
77,0.37,0.733,0.273,19,37,1610612748,88,0.466,0.684,0.269,24,42,0,,-11,-0.096,0.049,0.004,-5,-5
82,0.474,0.417,0.294,22,41,1610612759,103,0.464,0.87,0.313,24,40,0,,-21,0.01,-0.453,-0.019,-2,1
115,0.557,0.696,0.423,27,29,1610612743,101,0.465,0.763,0.3,14,37,1,,14,0.092,-0.067,0.123,13,-8
142,0.532,0.69,0.316,34,46,1610612751,134,0.495,0.644,0.375,23,47,1,,8,0.037,0.046,-0.059,11,-1
104,0.506,0.759,0.333,25,45,1610612746,83,0.41,0.882,0.19,17,28,1,,21,0.096,-0.123,0.143,8,17
90,0.427,0.571,0.267,17,48,1610612754,69,0.272,0.75,0.16,10,52,1,,21,0.155,-0.179,0.107,7,-4
101,0.434,0.68,0.324,23,41,1610612760,104,0.379,0.933,0.385,14,49,0,,-3,0.055,-0.253,-0.061,9,-8
76,0.4,0.778,0.316,14,41,1610612752,90,0.5,0.375,0.407,22,37,0,,-14,-0.1,0.403,-0.091,-8,4
89,0.432,0.6,0.2,19,35,1610612759,120,0.612,0.733,0.313,30,49,0,,-31,-0.18,-0.133,-0.113,-11,-14
110,0.525,0.783,0.4,26,42,1610612743,108,0.465,0.778,0.389,26,34,1,,2,0.06,0.005,0.011,0,8
91,0.458,0.621,0.269,23,38,1610612748,104,0.519,0.56,0.421,31,43,0,,-13,-0.061,0.061,-0.152,-8,-5
79,0.397,0.667,0.2,17,48,1610612751,76,0.346,0.882,0.238,15,42,1,,3,0.051,-0.215,-0.038,2,6
94,0.388,0.737,0.25,18,45,1610612746,82,0.388,0.913,0.391,14,33,1,,12,0,-0.176,-0.141,4,12
105,0.435,0.833,0.314,20,40,1610612745,102,0.396,0.8,0.286,16,57,1,,3,0.039,0.033,0.028,4,-17
113,0.471,0.724,0.4,22,47,1610612737,98,0.494,0.55,0.391,25,41,1,,15,-0.023,0.174,0.009,-3,6
102,0.512,0.786,0.5,21,37,1610612747,91,0.451,0.692,0.364,18,40,1,,11,0.061,0.094,0.136,3,-3
98,0.449,0.846,0.316,17,43,1610612749,86,0.5,0.588,0.222,23,33,1,,12,-0.051,0.258,0.094,-6,10
87,0.421,0.727,0.368,14,42,1610612738,71,0.371,0.778,0.263,14,37,1,,16,0.05,-0.051,0.105,0,5
117,0.5,0.757,0.346,27,26,1610612744,131,0.646,0.75,0.56,26,36,0,,-14,-0.146,0.007,-0.214,1,-10
82,0.354,0.87,0.19,22,39,1610612741,90,0.481,0.565,0.25,21,44,0,,-8,-0.127,0.305,-0.06,1,-5
93,0.474,0.773,0.133,19,40,1610612763,91,0.452,0.676,0.182,16,38,1,,2,0.022,0.097,-0.049,3,2
107,0.449,0.882,0.368,23,48,1610612737,90,0.5,0.5,0.412,23,32,1,,17,-0.051,0.382,-0.044,0,16
91,0.376,0.8,0.318,20,43,1610612747,79,0.411,0.667,0.2,15,44,1,,12,-0.035,0.133,0.118,5,-1
110,0.559,0.818,0.304,22,46,1610612749,87,0.415,0.6,0.269,14,31,1,,23,0.144,0.218,0.035,8,15
120,0.53,0.786,0.417,28,46,1610612745,91,0.363,0.708,0.222,17,39,1,,29,0.167,0.078,0.195,11,7
85,0.405,0.8,0.36,13,40,1610612738,78,0.415,1,0.25,18,40,1,,7,-0.01,-0.2,0.11,-5,0
97,0.447,0.643,0.188,16,45,1610612744,95,0.413,0.733,0.364,27,55,1,,2,0.034,-0.09,-0.176,-11,-10
106,0.558,0.824,0.429,18,39,1610612741,89,0.474,0.682,0.25,15,35,1,,17,0.084,0.142,0.179,3,4
112,0.554,0.742,0.368,20,47,1610612763,91,0.465,0.8,0.417,22,23,1,,21,0.089,-0.058,-0.049,-2,24
114,0.5,0.786,0.571,26,46,1610612738,90,0.44,0.692,0.412,19,38,1,,24,0.06,0.094,0.159,7,8
103,0.481,0.739,0.333,28,38,1610612765,99,0.474,0.75,0.077,17,39,1,,4,0.007,-0.011,0.256,11,-1
98,0.429,0.688,0.375,21,50,1610612737,92,0.411,0.941,0.095,14,53,1,,6,0.018,-0.253,0.28,7,-3
105,0.507,0.767,0.4,28,40,1610612739,98,0.488,0.667,0.348,24,35,1,,7,0.019,0.1,0.052,4,5
105,0.538,0.474,0.414,31,34,1610612753,93,0.519,0.44,0.143,23,41,1,,12,0.019,0.034,0.271,8,-7
95,0.45,0.63,0.231,17,42,1610612755,105,0.506,0.786,0.421,16,42,0,,-10,-0.056,-0.156,-0.19,1,0
95,0.474,0.737,0.389,26,45,1610612764,92,0.424,0.765,0.438,17,37,1,,3,0.05,-0.028,-0.049,9,8
86,0.405,0.7,0.308,22,57,1610612762,70,0.321,0.654,0.273,15,47,1,,16,0.084,0.046,0.035,7,10
99,0.512,0.818,0.375,24,37,1610612740,87,0.369,0.75,0.364,11,58,1,,12,0.143,0.068,0.011,13,-21
95,0.418,1,0.389,20,40,1610612750,108,0.462,0.75,0.414,26,45,0,,-13,-0.044,0.25,-0.025,-6,-5
89,0.416,0.857,0.143,16,44,1610612749,95,0.424,0.722,0.37,18,53,0,,-6,-0.008,0.135,-0.227,-2,-9
118,0.527,0.8,0.25,28,54,1610612756,98,0.385,0.647,0.28,29,47,1,,20,0.142,0.153,-0.03,-1,7
99,0.367,0.676,0.313,27,57,1610612745,95,0.417,0.708,0.242,21,46,1,,4,-0.05,-0.032,0.071,6,11
108,0.449,0.76,0.346,23,44,1610612746,112,0.5,0.667,0.5,25,44,0,,-4,-0.051,0.093,-0.154,-2,0
88,0.427,0.857,0.5,18,42,1610612744,99,0.43,0.769,0.429,21,52,0,,-11,-0.003,0.088,0.071,-3,-10
96,0.398,0.739,0.321,22,42,1610612761,113,0.513,0.852,0.37,24,47,0,,-17,-0.115,-0.113,-0.049,-2,-5
93,0.468,0.8,0.259,30,51,1610612757,77,0.411,0.667,0.333,18,33,1,,16,0.057,0.133,-0.074,12,18
106,0.581,0.929,0.389,35,37,1610612752,95,0.43,1,0.378,27,25,1,,11,0.151,-0.071,0.011,8,12
84,0.419,0.606,0.2,16,39,1610612741,102,0.56,0.692,0.529,33,35,0,,-18,-0.141,-0.086,-0.329,-17,4
95,0.453,0.632,0.385,20,38,1610612748,96,0.5,0.63,0.464,25,45,0,,-1,-0.047,0.002,-0.079,-5,-7
106,0.467,0.481,0.467,12,45,1610612764,101,0.532,0.75,0.364,24,44,1,,5,-0.065,-0.269,0.103,-12,1
109,0.494,0.818,0.36,23,43,1610612755,101,0.448,0.81,0.273,25,39,1,,8,0.046,0.008,0.087,-2,4
111,0.42,0.652,0.343,25,44,1610612743,112,0.435,0.696,0.429,21,58,0,,-1,-0.015,-0.044,-0.086,4,-14
97,0.447,0.8,0.474,18,36,1610612763,103,0.475,0.8,0.333,24,50,0,,-6,-0.028,0,0.141,-6,-14
104,0.457,0.75,0.217,23,49,1610612758,95,0.437,0.571,0.259,19,45,1,,9,0.02,0.179,-0.042,4,4
80,0.427,0.778,0.118,21,38,1610612762,96,0.468,0.913,0.3,21,41,0,,-16,-0.041,-0.135,-0.182,0,-3
119,0.495,0.783,0.304,29,44,1610612745,112,0.467,0.652,0.379,21,43,1,,7,0.028,0.131,-0.075,8,1
116,0.541,0.833,0.45,26,53,1610612759,106,0.459,0.615,0.333,30,39,1,,10,0.082,0.218,0.117,-4,14
105,0.514,0.659,0.353,23,44,1610612741,93,0.354,0.774,0.423,16,45,1,,12,0.16,-0.115,-0.07,7,-1
93,0.439,0.714,0.4,19,48,1610612751,87,0.405,0.579,0.267,23,38,1,,6,0.034,0.135,0.133,-4,10
90,0.427,0.818,0.355,15,32,1610612754,80,0.431,0.615,0.286,20,45,1,,10,-0.004,0.203,0.069,-5,-13
91,0.442,0.636,0.381,27,39,1610612739,77,0.365,0.667,0.313,22,49,1,,14,0.077,-0.031,0.068,5,-10
118,0.531,0.889,0.364,30,39,1610612757,109,0.463,0.808,0.375,26,37,1,,9,0.068,0.081,-0.011,4,2
89,0.379,0.778,0.409,22,47,1610612742,107,0.523,1,0.429,27,41,0,,-18,-0.144,-0.222,-0.02,-5,6
121,0.542,0.75,0.481,28,46,1610612758,100,0.39,0.824,0.32,24,45,1,,21,0.152,-0.074,0.161,4,1
91,0.365,0.645,0.333,18,58,1610612759,86,0.371,0.737,0.333,25,46,1,,5,-0.006,-0.092,0,-7,12
95,0.463,0.708,0.444,23,52,1610612749,85,0.391,0.667,0.31,23,36,1,,10,0.072,0.041,0.134,0,16
88,0.422,0.867,0.357,23,40,1610612738,120,0.593,0.737,0.625,27,38,0,,-32,-0.171,0.13,-0.268,-4,2
87,0.41,0.65,0.462,19,43,1610612746,91,0.463,0.611,0.375,18,45,0,,-4,-0.053,0.039,0.087,1,-2
105,0.494,0.895,0.4,19,36,1610612756,93,0.507,0.714,0.45,28,34,1,,12,-0.013,0.181,-0.05,-9,2
97,0.472,0.818,0.25,22,38,1610612741,88,0.442,0.786,0.5,22,39,1,,9,0.03,0.032,-0.25,0,-1
86,0.414,0.619,0.077,21,47,1610612755,97,0.43,0.909,0.318,29,47,0,,-11,-0.016,-0.29,-0.241,-8,0
109,0.5,0.808,0.421,25,35,1610612751,117,0.512,0.808,0.48,24,39,0,,-8,-0.012,0,-0.059,1,-4
109,0.506,0.68,0.3,26,46,1610612749,104,0.413,0.688,0.515,27,48,1,,5,0.093,-0.008,-0.215,-1,-2
109,0.549,0.679,0.522,28,37,1610612738,101,0.482,1,0.261,15,34,1,,8,0.067,-0.321,0.261,13,3
113,0.518,0.75,0.667,31,45,1610612766,93,0.449,0.824,0.375,18,33,1,,20,0.069,-0.074,0.292,13,12
91,0.43,0.708,0.273,17,46,1610612752,101,0.506,0.647,0.357,15,44,0,,-10,-0.076,0.061,-0.084,2,2
93,0.422,0.531,0.316,21,48,1610612746,96,0.449,0.679,0.269,28,41,0,,-3,-0.027,-0.148,0.047,-7,7
78,0.311,0.75,0.344,18,51,1610612763,82,0.349,0.679,0.294,18,44,0,,-4,-0.038,0.071,0.05,0,7
108,0.453,0.579,0.478,29,52,1610612743,105,0.441,0.714,0.333,22,46,1,,3,0.012,-0.135,0.145,7,6
108,0.545,0.857,0.353,28,41,1610612758,101,0.438,0.8,0.55,26,34,1,,7,0.107,0.057,-0.197,2,7
107,0.583,0.882,0.615,23,36,1610612750,100,0.462,0.952,0.364,21,31,1,,7,0.121,-0.07,0.251,2,5
90,0.409,0.667,0.3,20,36,1610612760,106,0.519,0.81,0.409,16,40,0,,-16,-0.11,-0.143,-0.109,4,-4
118,0.515,0.76,0.48,22,36,1610612744,116,0.474,0.813,0.423,25,44,1,,2,0.041,-0.053,0.057,-3,-8
118,0.448,0.811,0.37,23,53,1610612752,111,0.404,0.773,0.333,18,52,1,,7,0.044,0.038,0.037,5,1
97,0.44,0.615,0.438,16,39,1610612760,116,0.506,0.87,0.444,30,46,0,,-19,-0.066,-0.255,-0.006,-14,-7
101,0.42,0.909,0.333,21,41,1610612737,124,0.538,0.947,0.364,34,44,0,,-23,-0.118,-0.038,-0.031,-13,-3
98,0.45,0.714,0.478,19,34,1610612748,103,0.44,0.87,0.415,19,47,0,,-5,0.01,-0.156,0.063,0,-13
113,0.468,0.375,0.533,27,62,1610612749,103,0.386,0.654,0.286,26,56,1,,10,0.082,-0.279,0.247,1,6
104,0.488,0.808,0.2,21,49,1610612765,111,0.5,0.643,0.25,20,33,0,,-7,-0.012,0.165,-0.05,1,16
93,0.457,0.765,0.375,20,37,1610612751,101,0.459,0.893,0.421,19,39,0,,-8,-0.002,-0.128,-0.046,1,-2
91,0.4,0.81,0.353,21,50,1610612756,102,0.416,0.941,0.444,25,48,0,,-11,-0.016,-0.131,-0.091,-4,2
121,0.553,0.739,0.5,26,37,1610612740,110,0.487,0.8,0.333,19,41,1,,11,0.066,-0.061,0.167,7,-4
106,0.447,0.9,0.462,24,31,1610612747,113,0.589,0.875,0.316,19,39,0,,-7,-0.142,0.025,0.146,5,-8
96,0.453,0.571,0.4,26,53,1610612759,86,0.402,0.706,0.19,24,43,1,,10,0.051,-0.135,0.21,2,10
111,0.571,0.75,0.524,34,48,1610612750,95,0.389,0.864,0.261,23,38,1,,16,0.182,-0.114,0.263,11,10
99,0.405,0.674,0.25,13,45,1610612739,94,0.459,0.867,0.3,18,39,1,,5,-0.054,-0.193,-0.05,-5,6
104,0.452,0.652,0.25,16,67,1610612755,83,0.375,0.8,0.5,16,34,1,,21,0.077,-0.148,-0.25,0,33
120,0.563,0.714,0.556,26,39,1610612764,99,0.455,0.7,0.4,18,38,1,,21,0.108,0.014,0.156,8,1
94,0.432,1,0.229,22,49,1610612749,83,0.44,0.571,0.36,19,37,1,,11,-0.008,0.429,-0.131,3,12
98,0.43,0.7,0.588,24,40,1610612761,101,0.514,0.833,0.389,22,33,0,,-3,-0.084,-0.133,0.199,2,7
94,0.476,0.65,0.231,17,48,1610612766,75,0.375,0.722,0.143,13,44,1,,19,0.101,-0.072,0.088,4,4
101,0.43,0.875,0.2,19,44,1610612756,98,0.442,0.789,0.583,24,41,1,,3,-0.012,0.086,-0.383,-5,3
80,0.392,0.786,0.28,22,43,1610612760,90,0.395,0.944,0.429,18,46,0,,-10,-0.003,-0.158,-0.149,4,-3
104,0.506,0.773,0.28,26,42,1610612740,96,0.44,0.944,0.25,23,36,1,,8,0.066,-0.171,0.03,3,6
105,0.429,0.773,0.417,24,60,1610612750,89,0.367,0.8,0.368,29,44,1,,16,0.062,-0.027,0.049,-5,16
120,0.577,0.84,0.529,23,37,1610612752,125,0.495,0.75,0.441,22,41,0,,-5,0.082,0.09,0.088,1,-4
109,0.5,0.81,0.381,26,50,1610612747,95,0.434,0.733,0.292,25,36,1,,14,0.066,0.077,0.089,1,14
107,0.558,0.81,0.364,26,38,1610612764,96,0.443,0.667,0.385,23,36,1,,11,0.115,0.143,-0.021,3,2
91,0.36,0.833,0.412,24,52,1610612753,85,0.378,0.727,0.077,21,53,1,,6,-0.018,0.106,0.335,3,-1
87,0.358,0.786,0.28,18,41,1610612763,89,0.438,0.759,0.429,17,45,0,,-2,-0.08,0.027,-0.149,1,-4
99,0.534,0.706,0.5,25,40,1610612741,85,0.452,0.64,0.2,20,33,1,,14,0.082,0.066,0.3,5,7
90,0.473,0.722,0.412,21,41,1610612762,97,0.455,0.857,0.44,29,42,0,,-7,0.018,-0.135,-0.028,-8,-1
92,0.425,0.895,0.333,20,38,1610612740,95,0.4,0.931,0.267,19,48,0,,-3,0.025,-0.036,0.066,1,-10
91,0.463,0.813,0.182,23,39,1610612742,96,0.467,0.75,0.231,28,48,0,,-5,-0.004,0.063,-0.049,-5,-9
104,0.494,0.71,0.333,19,41,1610612754,85,0.407,0.8,0.15,17,47,1,,19,0.087,-0.09,0.183,2,-6
105,0.488,0.733,0.238,17,40,1610612766,96,0.45,0.739,0.333,18,43,1,,9,0.038,-0.006,-0.095,-1,-3
106,0.482,0.857,0.56,25,48,1610612755,87,0.402,0.75,0.3,12,41,1,,19,0.08,0.107,0.26,13,7
107,0.434,0.763,0.429,23,38,1610612765,101,0.533,0.714,0.4,22,41,1,,6,-0.099,0.049,0.029,1,-3
100,0.474,0.759,0.316,27,40,1610612761,83,0.361,0.87,0.3,18,35,1,,17,0.113,-0.111,0.016,9,5
99,0.45,0.828,0.2,24,49,1610612737,97,0.422,0.88,0.417,23,38,1,,2,0.028,-0.052,-0.217,1,11
132,0.545,0.619,0.44,40,46,1610612745,114,0.47,0.688,0.412,30,41,1,,18,0.075,-0.069,0.028,10,5
91,0.404,0.591,0.273,23,42,1610612739,97,0.404,0.846,0.231,16,58,0,,-6,0,-0.255,0.042,7,-16
101,0.461,0.875,0.333,17,50,1610612749,83,0.382,0.722,0.4,16,40,1,,18,0.079,0.153,-0.067,1,10
90,0.466,0.63,0.294,23,41,1610612755,101,0.463,0.75,0.563,24,48,0,,-11,0.003,-0.12,-0.269,-1,-7
79,0.318,0.909,0.188,13,46,1610612748,89,0.449,0.824,0.394,26,41,0,,-10,-0.131,0.085,-0.206,-13,5
75,0.375,0.792,0.095,13,31,1610612760,97,0.474,0.826,0.333,18,53,0,,-22,-0.099,-0.034,-0.238,-5,-22
87,0.402,0.929,0.4,19,37,1610612753,86,0.425,0.824,0.4,18,45,1,,1,-0.023,0.105,0,1,-8
93,0.448,0.75,0.2,23,40,1610612761,95,0.471,0.688,0.267,18,40,0,,-2,-0.023,0.062,-0.067,5,0
95,0.506,0.545,0.423,28,35,1610612740,83,0.416,0.85,0.167,13,40,1,,12,0.09,-0.305,0.256,15,-5
107,0.611,0.824,0.357,19,36,1610612744,111,0.512,0.875,0.563,26,30,0,,-4,0.099,-0.051,-0.206,-7,6
108,0.448,0.774,0.231,20,45,1610612742,117,0.511,1,0.3,30,43,0,,-9,-0.063,-0.226,-0.069,-10,2
98,0.418,0.833,0.1,23,44,1610612745,116,0.513,0.743,0.429,24,44,0,,-18,-0.095,0.09,-0.329,-1,0
86,0.459,0.722,0.25,22,43,1610612763,84,0.442,0.714,0.214,24,36,1,,2,0.017,0.008,0.036,-2,7
90,0.443,0.767,0.385,17,30,1610612741,92,0.463,0.632,0.364,21,46,0,,-2,-0.02,0.135,0.021,-4,-16
95,0.393,0.633,0.353,22,50,1610612742,94,0.466,0.8,0.222,26,41,1,,1,-0.073,-0.167,0.131,-4,9
100,0.463,0.923,0.5,21,47,1610612759,88,0.398,0.824,0.381,21,44,1,,12,0.065,0.099,0.119,0,3
88,0.455,0.75,0.125,21,44,1610612764,78,0.325,0.724,0.263,14,41,1,,10,0.13,0.026,-0.138,7,3
88,0.432,0.875,0.286,22,50,1610612755,83,0.351,0.813,0.25,16,47,1,,5,0.081,0.062,0.036,6,3
82,0.485,0.474,0.346,22,35,1610612752,95,0.519,0.667,0.318,16,38,0,,-13,-0.034,-0.193,0.028,6,-3
95,0.382,0.885,0.286,18,36,1610612751,113,0.566,0.773,0.476,31,44,0,,-18,-0.184,0.112,-0.19,-13,-8
98,0.507,0.864,0.35,20,34,1610612765,93,0.366,0.7,0.167,20,52,1,,5,0.141,0.164,0.183,0,-18
98,0.438,0.667,0.348,19,45,1610612750,107,0.524,0.688,0.615,33,42,0,,-9,-0.086,-0.021,-0.267,-14,3
98,0.444,0.615,0.345,26,53,1610612753,84,0.389,0.889,0.353,24,47,1,,14,0.055,-0.274,-0.008,2,6
96,0.464,0.667,0.3,25,33,1610612743,113,0.562,0.75,0.389,22,42,0,,-17,-0.098,-0.083,-0.089,3,-9
102,0.391,0.824,0.286,19,40,1610612745,112,0.488,0.857,0.333,32,47,0,,-10,-0.097,-0.033,-0.047,-13,-7
76,0.413,0.6,0.138,21,30,1610612763,94,0.507,0.786,0.333,27,37,0,,-18,-0.094,-0.186,-0.195,-6,-7
126,0.559,0.722,0.429,39,37,1610612756,101,0.455,0.96,0.412,23,41,1,,25,0.104,-0.238,0.017,16,-4
98,0.462,0.864,0.368,25,47,1610612740,88,0.398,0.783,0.267,21,39,1,,10,0.064,0.081,0.101,4,8
90,0.423,0.692,0.462,22,51,1610612741,86,0.393,0.688,0.217,21,45,1,,4,0.03,0.004,0.245,1,6
90,0.5,0.815,0.4,18,32,1610612752,102,0.521,0.7,0.519,17,24,0,,-12,-0.021,0.115,-0.119,1,8
101,0.444,0.636,0.333,23,57,1610612742,81,0.42,0.5,0.368,23,37,1,,20,0.024,0.136,-0.035,0,20
98,0.506,0.8,0.381,24,29,1610612765,108,0.558,0.714,0.467,24,29,0,,-10,-0.052,0.086,-0.086,0,0
102,0.457,0.731,0.3,26,37,1610612739,94,0.506,0.6,0.25,29,44,1,,8,-0.049,0.131,0.05,-3,-7
131,0.51,0.882,0.519,32,45,1610612766,102,0.507,0.786,0.316,18,32,1,,29,0.003,0.096,0.203,14,13
92,0.456,0.75,0.286,15,40,1610612759,90,0.48,0.909,0.348,21,40,1,,2,-0.024,-0.159,-0.062,-6,0
111,0.449,0.636,0.31,27,54,1610612753,103,0.419,0.905,0.4,22,48,1,,8,0.03,-0.269,-0.09,5,6
110,0.482,0.926,0.278,30,31,1610612738,100,0.519,0.643,0.438,25,37,1,,10,-0.037,0.283,-0.16,5,-6
112,0.542,0.722,0.409,26,32,1610612757,102,0.582,0.647,0.565,25,30,1,,10,-0.04,0.075,-0.156,1,2
106,0.488,0.885,0.313,24,36,1610612754,109,0.549,0.75,0.435,29,35,0,,-3,-0.061,0.135,-0.122,-5,1
109,0.482,0.643,0.529,24,48,1610612761,92,0.395,0.808,0.368,21,45,1,,17,0.087,-0.165,0.161,3,3
112,0.541,0.69,0.571,23,45,1610612739,92,0.463,0.75,0.389,20,31,1,,20,0.078,-0.06,0.182,3,14
