PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,,pts_diff,fg_pct_diff,ft_pct_diff,fg3_pct_diff,ast_diff,reb_diff
104,0.413,0.73,0.324,20,56,1610612745,125,0.434,0.714,0.462,25,47,0,,-21,-0.021,0.016,-0.138,-5,9
87,0.357,0.8,0.318,15,46,1610612746,81,0.357,0.647,0.278,15,55,1,,6,0,0.153,0.04,0,-9
127,0.511,0.727,0.5,22,55,1610612758,102,0.368,0.727,0.32,24,44,1,,25,0.143,0,0.18,-2,11
93,0.443,0.591,0.357,25,41,1610612747,106,0.483,0.643,0.314,23,46,0,,-13,-0.04,-0.052,0.043,2,-5
108,0.463,0.857,0.368,21,41,1610612748,111,0.458,0.955,0.424,26,35,0,,-3,0.005,-0.098,-0.056,-5,6
96,0.427,0.808,0.344,18,39,1610612747,102,0.443,0.857,0.359,25,42,0,,-6,-0.016,-0.049,-0.015,-7,-3
115,0.513,0.913,0.353,25,37,1610612747,104,0.43,0.759,0.333,23,43,1,,11,0.083,0.154,0.02,2,-6
124,0.505,0.588,0.34,32,44,1610612748,114,0.507,0.912,0.407,29,37,1,,10,-0.002,-0.324,-0.067,3,7
116,0.452,0.926,0.395,26,54,1610612748,98,0.427,0.786,0.314,23,36,1,,18,0.025,0.14,0.081,3,18
125,0.563,0.846,0.481,30,40,1610612738,113,0.434,0.8,0.326,26,42,1,,12,0.129,0.046,0.155,4,-2
117,0.545,0.828,0.375,24,43,1610612743,107,0.422,0.885,0.267,23,36,1,,10,0.123,-0.057,0.108,1,7
121,0.452,0.862,0.316,29,50,1610612748,108,0.453,0.793,0.194,27,38,1,,13,-0.001,0.069,0.122,2,12
108,0.506,0.87,0.357,22,33,1610612747,114,0.475,0.8,0.333,23,41,0,,-6,0.031,0.07,0.024,-1,-8
112,0.429,0.889,0.27,20,40,1610612738,109,0.476,0.81,0.35,28,46,1,,3,-0.047,0.079,-0.08,-8,-6
114,0.548,0.793,0.379,26,44,1610612747,106,0.518,0.636,0.231,27,25,1,,8,0.03,0.157,0.148,-1,19
105,0.446,0.947,0.361,23,44,1610612743,103,0.473,0.758,0.333,22,31,1,,2,-0.027,0.189,0.028,1,13
106,0.388,0.824,0.273,21,42,1610612738,117,0.482,0.867,0.346,27,50,0,,-11,-0.094,-0.043,-0.073,-6,-8
126,0.53,0.73,0.423,33,34,1610612743,114,0.494,0.821,0.346,23,37,1,,12,0.036,-0.091,0.077,10,-3
101,0.5,0.792,0.357,19,41,1610612748,106,0.444,0.857,0.326,27,38,0,,-5,0.056,-0.065,0.031,-8,3
114,0.443,0.913,0.357,24,37,1610612748,117,0.471,0.75,0.444,32,41,0,,-3,-0.028,0.163,-0.087,-8,-4
89,0.378,0.75,0.257,21,37,1610612743,104,0.494,0.938,0.351,22,53,0,,-15,-0.116,-0.188,-0.094,-1,-16
111,0.541,0.704,0.48,26,41,1610612746,98,0.41,0.889,0.37,20,37,1,,13,0.131,-0.185,0.11,6,4
119,0.527,0.759,0.514,25,50,1610612745,96,0.371,0.708,0.265,18,31,1,,23,0.156,0.051,0.249,7,19
105,0.42,0.882,0.381,22,41,1610612743,111,0.481,0.84,0.444,20,44,0,,-6,-0.061,0.042,-0.063,2,-3
87,0.413,0.895,0.286,17,44,1610612738,92,0.407,0.565,0.237,19,44,0,,-5,0.006,0.33,0.049,-2,0
100,0.431,0.769,0.424,24,26,1610612747,110,0.489,0.938,0.3,30,52,0,,-10,-0.058,-0.169,0.124,-6,-26
122,0.44,0.833,0.413,32,58,1610612761,125,0.436,0.72,0.404,22,46,0,,-3,0.004,0.113,0.009,10,12
85,0.397,0.846,0.333,19,38,1610612746,96,0.418,0.733,0.286,19,41,0,,-11,-0.021,0.113,0.047,0,-3
94,0.363,0.731,0.273,20,41,1610612748,103,0.479,0.917,0.355,21,48,0,,-9,-0.116,-0.186,-0.082,-1,-7
102,0.469,1,0.4,23,30,1610612747,112,0.551,0.696,0.333,25,43,0,,-10,-0.082,0.304,0.067,-2,-13
89,0.388,0.846,0.3,19,36,1610612738,111,0.494,0.889,0.324,23,45,0,,-22,-0.106,-0.043,-0.024,-4,-9
107,0.468,0.8,0.324,32,36,1610612746,113,0.547,0.769,0.355,23,41,0,,-6,-0.079,0.031,-0.031,9,-5
115,0.444,0.9,0.362,33,41,1610612749,118,0.489,0.773,0.314,25,46,0,,-3,-0.045,0.127,0.048,8,-5
117,0.566,0.611,0.444,30,41,1610612745,109,0.449,0.739,0.415,22,35,1,,8,0.117,-0.128,0.029,8,6
93,0.44,0.741,0.2,18,45,1610612761,100,0.395,0.789,0.386,23,41,0,,-7,0.045,-0.048,-0.186,-5,4
101,0.409,0.69,0.281,20,52,1610612743,110,0.451,0.765,0.375,18,45,0,,-9,-0.042,-0.075,-0.094,2,7
115,0.449,0.794,0.383,27,49,1610612749,100,0.42,0.714,0.297,23,44,1,,15,0.029,0.08,0.086,4,5
97,0.422,0.842,0.289,18,41,1610612745,112,0.481,0.741,0.359,19,41,0,,-15,-0.059,0.101,-0.07,-1,0
103,0.47,0.762,0.31,21,44,1610612761,104,0.466,0.563,0.325,23,39,0,,-1,0.004,0.199,-0.015,-2,5
120,0.571,0.824,0.417,23,45,1610612743,97,0.422,0.667,0.25,20,40,1,,23,0.149,0.157,0.167,3,5
114,0.435,0.846,0.28,16,50,1610612748,116,0.457,0.781,0.378,22,38,0,,-2,-0.022,0.065,-0.098,-6,12
104,0.398,0.895,0.347,18,44,1610612760,102,0.461,0.762,0.471,24,46,1,,2,-0.063,0.133,-0.124,-6,-2
99,0.4,0.842,0.275,25,41,1610612738,102,0.421,0.92,0.395,18,44,0,,-3,-0.021,-0.078,-0.12,7,-3
80,0.373,0.769,0.258,21,46,1610612762,78,0.38,0.667,0.235,16,48,1,,2,-0.007,0.102,0.023,5,-2
104,0.493,0.538,0.457,22,34,1610612748,115,0.464,0.926,0.387,21,46,0,,-11,0.029,-0.388,0.07,1,-12
104,0.427,0.889,0.333,17,51,1610612745,100,0.452,0.75,0.341,19,41,1,,4,-0.025,0.139,-0.008,-2,10
94,0.369,0.759,0.25,22,40,1610612738,112,0.47,0.81,0.436,25,50,0,,-18,-0.101,-0.051,-0.186,-3,-10
97,0.422,0.588,0.297,20,42,1610612746,111,0.484,0.923,0.379,22,52,0,,-14,-0.062,-0.335,-0.082,-2,-10
107,0.453,0.7,0.5,20,30,1610612743,119,0.549,0.885,0.5,22,43,0,,-12,-0.096,-0.185,0,-2,-13
118,0.455,0.815,0.356,27,56,1610612753,104,0.394,0.714,0.366,22,47,1,,14,0.061,0.101,-0.01,5,9
114,0.43,0.643,0.396,28,55,1610612760,80,0.315,0.652,0.152,11,58,1,,34,0.115,-0.009,0.244,17,-3
131,0.545,0.808,0.389,27,41,1610612757,122,0.473,0.808,0.481,20,43,1,,9,0.072,0,-0.092,7,-2
117,0.506,0.938,0.457,22,38,1610612762,107,0.5,0.813,0.471,23,35,1,,10,0.006,0.125,-0.014,-1,3
154,0.631,0.765,0.629,28,49,1610612742,111,0.447,0.697,0.324,19,31,1,,43,0.184,0.068,0.305,9,18
106,0.414,0.8,0.4,26,43,1610612749,121,0.495,0.667,0.415,29,49,0,,-15,-0.081,0.133,-0.015,-3,-6
117,0.488,0.786,0.344,16,46,1610612745,114,0.451,0.9,0.397,25,40,1,,3,0.037,-0.114,-0.053,-9,6
99,0.44,0.786,0.267,24,60,1610612754,87,0.413,0.636,0.378,20,34,1,,12,0.027,0.15,-0.111,4,26
115,0.449,0.742,0.429,20,42,1610612747,135,0.563,0.667,0.436,29,41,0,,-20,-0.114,0.075,-0.007,-9,1
106,0.427,0.794,0.265,12,39,1610612738,110,0.463,0.759,0.343,19,42,0,,-4,-0.036,0.035,-0.078,-7,-3
135,0.5,0.75,0.361,20,54,1610612746,133,0.464,0.906,0.368,19,41,1,,2,0.036,-0.156,-0.007,1,13
122,0.398,0.758,0.38,21,44,1610612761,150,0.554,0.727,0.468,39,57,0,,-28,-0.156,0.031,-0.088,-18,-13
129,0.575,0.861,0.483,14,37,1610612743,127,0.49,0.923,0.386,25,40,1,,2,0.085,-0.062,0.097,-11,-3
107,0.452,0.857,0.487,24,35,1610612749,121,0.561,0.706,0.459,27,43,0,,-14,-0.109,0.151,0.028,-3,-8
124,0.453,0.827,0.394,23,46,1610612754,115,0.488,0.75,0.364,23,37,1,,9,-0.035,0.077,0.03,0,9
119,0.446,0.676,0.341,20,54,1610612745,107,0.413,0.696,0.3,14,46,1,,12,0.033,-0.02,0.041,6,8
108,0.411,0.947,0.343,17,38,1610612747,116,0.5,0.651,0.333,26,55,0,,-8,-0.089,0.296,0.01,-9,-17
92,0.333,0.727,0.314,24,42,1610612761,117,0.505,0.636,0.474,35,56,0,,-25,-0.172,0.091,-0.16,-11,-14
124,0.512,0.769,0.486,27,50,1610612743,87,0.375,0.818,0.316,20,45,1,,37,0.137,-0.049,0.17,7,5
94,0.295,0.853,0.231,14,57,1610612738,102,0.414,0.917,0.258,15,45,0,,-8,-0.119,-0.064,-0.027,-1,12
122,0.506,0.708,0.395,27,42,1610612746,130,0.522,0.815,0.412,24,44,0,,-8,-0.016,-0.107,-0.017,3,-2
100,0.444,0.8,0.353,25,38,1610612748,109,0.474,0.679,0.514,27,41,0,,-9,-0.03,0.121,-0.161,-2,-3
111,0.418,0.889,0.339,21,41,1610612760,98,0.443,0.895,0.344,15,48,1,,13,-0.025,-0.006,-0.005,6,-7
111,0.472,0.75,0.366,26,57,1610612753,96,0.348,0.871,0.212,18,42,1,,15,0.124,-0.121,0.154,8,15
111,0.478,0.9,0.368,26,50,1610612757,88,0.4,0.75,0.276,14,41,1,,23,0.078,0.15,0.092,12,9
104,0.437,0.679,0.257,22,44,1610612751,99,0.388,0.704,0.341,25,46,1,,5,0.049,-0.025,-0.084,-3,-2
105,0.457,0.783,0.481,22,41,1610612762,124,0.517,0.824,0.455,32,36,0,,-19,-0.06,-0.041,0.026,-10,5
128,0.512,0.724,0.442,20,43,1610612755,101,0.418,0.811,0.238,21,38,1,,27,0.094,-0.087,0.204,-1,5
114,0.44,0.769,0.294,16,47,1610612742,127,0.5,0.703,0.448,25,49,0,,-13,-0.06,0.066,-0.154,-9,-2
110,0.433,0.643,0.333,28,47,1610612753,122,0.494,0.947,0.39,29,48,0,,-12,-0.061,-0.304,-0.057,-1,-1
101,0.474,0.864,0.417,22,37,1610612748,113,0.494,0.8,0.371,22,35,0,,-12,-0.02,0.064,0.046,0,2
123,0.483,0.895,0.385,25,36,1610612760,108,0.44,0.84,0.371,22,46,1,,15,0.043,0.055,0.014,3,-10
93,0.351,0.645,0.156,22,55,1610612757,100,0.392,0.758,0.382,18,50,0,,-7,-0.041,-0.113,-0.226,4,5
135,0.516,0.833,0.537,23,41,1610612762,125,0.474,0.739,0.34,18,52,1,,10,0.042,0.094,0.197,5,-11
134,0.471,0.97,0.5,26,47,1610612751,110,0.467,0.688,0.31,33,45,1,,24,0.004,0.282,0.19,-7,2
109,0.422,0.885,0.323,22,43,1610612755,101,0.463,0.783,0.333,23,50,1,,8,-0.041,0.102,-0.01,-1,-7
118,0.474,0.75,0.342,18,45,1610612742,110,0.457,0.875,0.349,18,41,1,,8,0.017,-0.125,-0.007,0,4
126,0.452,0.854,0.375,20,39,1610612763,122,0.489,0.818,0.56,30,49,1,,4,-0.037,0.036,-0.185,-10,-10
117,0.5,0.643,0.514,27,51,1610612743,109,0.414,0.913,0.421,27,41,1,,8,0.086,-0.27,0.093,0,10
109,0.483,0.727,0.395,32,51,1610612748,92,0.356,0.741,0.263,14,48,1,,17,0.127,-0.014,0.132,18,3
107,0.4,0.692,0.324,23,61,1610612760,103,0.358,0.591,0.318,18,48,1,,4,0.042,0.101,0.006,5,13
96,0.438,0.875,0.25,25,27,1610612755,134,0.563,0.818,0.474,31,51,0,,-38,-0.125,0.057,-0.224,-6,-24
90,0.398,0.857,0.229,22,51,1610612764,96,0.386,0.75,0.385,22,56,0,,-6,0.012,0.107,-0.156,0,-5
122,0.49,0.733,0.429,29,47,1610612758,136,0.568,0.583,0.447,37,44,0,,-14,-0.078,0.15,-0.018,-8,3
119,0.5,0.696,0.394,36,55,1610612749,106,0.398,0.652,0.317,27,45,1,,13,0.102,0.044,0.077,9,10
128,0.551,0.762,0.412,34,45,1610612742,102,0.438,0.842,0.308,17,43,1,,26,0.113,-0.08,0.104,17,2
118,0.465,0.9,0.326,25,43,1610612759,112,0.494,0.667,0.5,24,44,1,,6,-0.029,0.233,-0.174,1,-1
133,0.552,0.684,0.424,28,46,1610612757,134,0.481,0.875,0.333,25,42,0,,-1,0.071,-0.191,0.091,3,4
133,0.571,0.733,0.536,25,33,1610612740,127,0.552,0.778,0.294,22,40,1,,6,0.019,-0.045,0.242,3,-7
104,0.372,0.857,0.281,20,49,1610612754,108,0.4,0.773,0.355,25,54,0,,-4,-0.028,0.084,-0.074,-5,-5
121,0.464,0.788,0.425,27,47,1610612761,125,0.444,0.675,0.419,28,47,0,,-4,0.02,0.113,0.006,-1,0
116,0.438,0.815,0.381,20,50,1610612748,115,0.488,0.85,0.333,24,40,1,,1,-0.05,-0.035,0.048,-4,10
111,0.494,0.632,0.371,33,42,1610612746,124,0.541,0.783,0.378,29,40,0,,-13,-0.047,-0.151,-0.007,4,2
96,0.386,0.862,0.304,13,49,1610612751,108,0.427,0.792,0.302,26,47,0,,-12,-0.041,0.07,0.002,-13,2
123,0.495,0.9,0.406,28,59,1610612745,105,0.404,0.905,0.292,18,37,1,,18,0.091,-0.005,0.114,10,22
117,0.495,0.714,0.455,28,34,1610612756,130,0.551,0.952,0.429,28,44,0,,-13,-0.056,-0.238,0.026,0,-10
107,0.393,0.789,0.241,26,44,1610612738,122,0.512,0.783,0.432,29,46,0,,-15,-0.119,0.006,-0.191,-3,-2
131,0.519,0.818,0.455,28,37,1610612757,134,0.469,0.931,0.395,18,48,0,,-3,0.05,-0.113,0.06,10,-11
